ipv,ips,iaa,ieg,nº_av,ida,defasagem
5.625,6.3,7.1,5.8,4.0,3.0,-2
4.292,5.0,7.9,3.4,4.0,1.1,-4
6.833,6.3,0.0,5.6,4.0,0.0,-3
7.25,6.3,0.0,7.8,4.0,6.8,-1
6.042,6.3,10.0,3.9,4.0,1.7,-4
7.792,6.9,8.3,8.2,4.0,8.0,0
6.292,7.5,7.9,3.7,4.0,1.8,-3
3.333,7.5,8.8,2.9,4.0,2.3,0
5.917,7.5,9.6,5.8,4.0,0.0,-5
7.375,7.5,7.9,8.0,4.0,6.9,-1
3.833,7.5,8.8,3.6,4.0,2.8,-2
7.417,6.3,7.1,7.9,4.0,6.6,0
5.417,5.6,9.2,6.3,4.0,5.2,0
6.708,5.0,7.1,8.2,4.0,6.8,0
5.875,6.3,5.4,6.9,4.0,3.1,-1
6.042,5.6,8.8,5.8,4.0,6.3,0
6.208,6.9,9.2,7.7,4.0,4.8,-3
5.375,7.5,7.5,7.2,4.0,3.9,-1
5.542,7.5,8.8,7.7,4.0,4.3,-2
5.208,7.5,7.9,6.6,4.0,4.8,-1
5.958,7.5,8.3,6.8,4.0,5.2,-1
4.708,7.5,5.4,4.5,4.0,2.5,-1
6.167,6.9,7.9,7.4,4.0,5.0,0
5.083,7.5,9.2,5.2,4.0,6.5,-1
6.0,7.5,7.9,7.5,4.0,4.5,-2
6.222,5.0,7.9,5.6,3.0,5.2,-3
6.167,7.5,9.6,8.1,3.0,5.2,0
5.889,5.0,7.5,7.0,3.0,4.1,-1
6.0,5.0,5.4,5.4,3.0,5.3,0
5.056,7.5,6.7,5.1,3.0,3.0,0
8.389,6.9,10.0,10.0,3.0,6.1,-1
5.944,7.5,8.8,5.6,3.0,6.8,0
6.111,6.9,8.3,6.9,3.0,5.8,-1
7.5,7.5,9.2,7.7,3.0,5.2,0
8.667,6.9,8.8,10.0,3.0,6.4,-1
8.278,5.6,9.2,9.1,3.0,5.2,0
6.778,5.0,7.1,8.1,3.0,4.7,0
6.611,7.5,9.2,7.3,3.0,3.4,0
8.611,6.9,10.0,9.3,3.0,6.8,0
8.444,7.5,9.5,6.8,3.0,6.0,0
8.944,5.0,10.0,9.7,3.0,9.0,-1
7.333,7.5,8.5,8.8,3.0,2.8,0
7.5,7.5,10.0,7.0,3.0,5.3,-1
5.778,4.4,7.4,6.9,3.0,5.0,0
7.056,7.5,9.5,8.8,3.0,2.5,-2
6.944,7.5,9.0,8.7,3.0,3.7,-1
8.5,8.1,9.5,9.0,3.0,7.5,-1
6.722,3.8,8.0,5.8,3.0,2.9,-2
8.722,4.4,6.9,9.2,3.0,8.0,0
6.833,7.5,9.5,9.4,3.0,7.4,0
7.889,4.4,9.5,8.5,3.0,5.1,-1
7.611,7.5,10.0,9.3,3.0,5.8,0
7.611,7.5,8.5,7.3,3.0,5.8,-1
8.889,7.5,6.9,9.9,3.0,8.1,0
7.667,7.5,9.0,8.2,3.0,6.5,0
7.5,7.5,8.0,7.7,3.0,5.8,-1
7.5,7.5,9.0,6.7,3.0,6.6,-2
7.167,7.5,9.5,7.4,3.0,5.9,-2
7.5,7.5,8.5,8.3,3.0,4.5,0
6.667,5.6,9.5,5.4,3.0,3.6,-1
7.889,7.5,10.0,9.1,3.0,7.0,0
8.0,5.6,9.0,10.0,3.0,8.5,-1
5.833,7.5,9.0,8.7,3.0,1.8,-1
3.944,7.5,9.5,7.7,3.0,3.7,-1
8.611,7.5,10.0,8.8,3.0,6.5,0
8.111,7.5,9.0,7.2,3.0,4.0,-2
8.389,5.6,9.0,8.1,3.0,7.0,0
8.444,7.5,7.0,10.0,3.0,7.5,0
7.333,7.5,8.5,4.3,3.0,4.5,-1
6.056,7.5,5.8,5.0,3.0,4.5,-1
8.278,5.0,10.0,8.4,3.0,4.6,-1
7.778,7.5,8.0,9.6,3.0,8.5,-1
7.556,7.5,7.5,6.5,3.0,0.0,-1
7.5,7.5,9.0,7.0,3.0,4.6,-1
7.5,7.5,9.5,8.5,3.0,5.2,-1
6.778,6.3,7.9,9.2,3.0,5.0,-1
7.5,7.5,8.5,7.9,3.0,7.9,-1
7.056,6.9,10.0,10.0,3.0,2.0,-1
8.167,7.5,9.5,10.0,3.0,8.8,0
7.833,5.0,8.0,10.0,3.0,7.8,0
6.833,7.5,9.5,9.4,3.0,5.5,-1
7.5,6.3,8.5,7.4,3.0,6.7,-1
7.5,5.0,8.0,7.9,3.0,7.3,-1
6.889,7.5,9.0,6.9,3.0,4.8,0
7.611,5.0,8.5,8.2,3.0,7.2,-1
7.667,6.9,9.5,8.0,3.0,8.4,0
7.389,6.9,8.5,5.5,3.0,7.8,0
6.944,5.0,6.4,9.5,3.0,7.3,0
7.944,7.5,9.0,9.8,3.0,6.9,-1
7.667,7.5,9.0,9.5,3.0,5.4,0
7.5,7.5,9.0,9.0,3.0,4.3,-1
6.833,5.6,9.0,7.7,3.0,6.2,-1
7.889,5.6,9.0,6.8,3.0,8.1,-1
6.778,7.5,8.5,8.1,3.0,5.0,-1
4.833,5.0,7.9,4.4,3.0,2.5,-1
6.944,6.9,9.0,8.3,3.0,3.3,-1
7.333,6.3,9.0,7.7,3.0,5.4,-2
7.778,7.5,9.0,9.6,3.0,8.1,0
8.0,6.3,9.0,8.4,3.0,8.1,-1
6.5,5.0,7.4,7.5,3.0,4.9,-1
7.222,5.6,10.0,5.9,3.0,4.0,-1
6.833,7.5,7.0,8.2,3.0,3.7,-1
7.722,5.6,7.9,8.5,3.0,4.5,-2
7.556,7.5,8.0,8.9,3.0,3.5,0
7.722,6.3,7.4,8.8,3.0,4.7,-1
8.056,7.5,10.0,8.1,3.0,5.1,-1
6.778,5.6,9.5,8.8,3.0,4.8,-2
6.778,5.0,10.0,5.4,3.0,4.6,-4
8.444,7.5,9.5,8.6,3.0,5.9,0
8.333,7.5,9.0,8.9,3.0,4.9,0
6.556,6.3,9.0,8.0,3.0,5.6,-1
7.167,6.9,9.0,5.7,3.0,2.8,-2
7.5,7.5,9.0,9.3,3.0,5.5,0
7.5,5.6,6.8,9.3,3.0,4.3,-1
7.444,5.0,9.0,8.5,3.0,1.7,-2
6.722,7.5,6.9,9.6,3.0,4.3,-1
7.222,5.0,9.0,3.7,3.0,3.0,-1
7.5,7.5,9.5,9.3,3.0,6.3,-1
6.944,7.5,9.0,7.3,3.0,5.3,-1
6.0,5.0,9.5,6.2,3.0,3.3,-1
7.333,7.5,9.5,9.5,3.0,6.6,-1
7.056,7.5,8.5,9.3,3.0,6.0,-1
7.333,7.5,8.0,9.7,3.0,3.3,-1
7.5,7.5,7.9,9.7,3.0,7.8,0
7.444,6.3,7.4,6.5,3.0,2.0,-2
7.833,7.5,6.4,8.6,3.0,7.1,-1
7.778,7.5,8.5,9.0,3.0,7.3,-1
7.056,5.6,6.4,8.7,3.0,4.7,-1
7.667,7.5,8.0,9.3,3.0,5.9,-1
8.056,7.5,8.0,8.3,3.0,6.2,0
8.222,8.8,9.5,9.3,3.0,7.2,-1
9.556,7.5,10.0,10.0,3.0,8.0,-1
8.222,7.5,8.0,9.4,3.0,7.5,0
8.389,5.6,7.5,9.2,3.0,6.9,-1
8.0,5.6,9.5,9.0,3.0,4.5,0
9.111,7.5,8.5,9.3,3.0,8.8,0
7.5,7.5,8.5,10.0,3.0,2.5,-1
7.667,7.5,8.4,9.6,3.0,2.3,-1
8.222,7.5,9.0,10.0,3.0,7.5,-1
7.5,7.5,9.0,10.0,3.0,9.0,-1
7.111,7.5,9.0,6.5,3.0,4.6,-2
6.778,7.5,8.0,8.5,3.0,2.5,-1
7.111,7.5,6.8,8.7,3.0,9.5,-1
6.611,7.5,10.0,5.3,3.0,2.7,-1
6.611,7.5,9.5,8.6,3.0,8.5,-1
6.778,7.5,9.0,8.1,3.0,4.5,0
6.611,5.0,10.0,6.8,3.0,5.1,-2
5.778,5.0,8.5,7.3,3.0,2.6,-1
6.778,7.5,9.0,8.1,3.0,5.7,0
6.444,7.5,7.9,6.2,3.0,4.7,0
6.611,7.5,9.5,8.1,3.0,2.0,0
6.611,7.5,8.5,8.3,3.0,5.8,-1
6.889,7.5,8.0,8.7,3.0,7.3,0
6.5,7.5,9.0,4.9,3.0,2.3,-1
5.833,6.9,9.5,9.0,3.0,5.5,0
8.333,7.5,9.0,7.9,3.0,8.0,0
8.222,7.5,10.0,8.2,3.0,7.5,0
8.5,7.5,9.0,9.1,3.0,5.6,-1
7.778,5.0,9.0,7.2,3.0,3.1,0
7.5,7.5,9.0,9.4,3.0,3.8,-1
7.889,5.0,9.5,8.9,3.0,6.9,-1
5.556,7.5,0.0,7.0,3.0,3.5,0
8.111,7.5,9.0,9.7,3.0,5.5,0
8.111,7.5,0.0,6.0,3.0,7.0,-1
8.111,7.5,10.0,9.1,3.0,7.5,-1
6.889,6.3,9.0,6.0,3.0,6.1,-1
7.167,7.5,9.0,5.6,3.0,4.8,-1
7.778,7.5,9.0,8.7,3.0,8.8,-1
5.444,5.0,9.5,8.6,3.0,2.3,-2
7.278,7.5,7.0,7.9,3.0,6.3,-1
8.389,6.3,6.4,8.2,3.0,7.3,-1
7.667,7.5,8.0,8.8,3.0,8.5,-1
5.833,7.5,8.0,7.7,3.0,5.6,-1
7.222,8.1,7.0,9.1,3.0,7.3,-1
5.056,7.5,6.8,8.1,3.0,3.3,-1
7.222,7.5,0.0,6.7,3.0,3.8,-1
6.778,7.5,10.0,8.5,3.0,3.6,-2
7.389,7.5,10.0,7.8,3.0,2.5,-1
7.722,7.5,7.5,8.0,3.0,4.8,-1
8.444,7.5,8.0,7.9,3.0,7.8,0
7.556,7.5,8.5,9.7,3.0,3.3,-1
7.111,5.0,5.8,8.4,3.0,5.5,-1
6.722,7.5,9.5,6.7,3.0,4.1,-1
