number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_recall_std,state
29,0.8493617021276595,2026-02-05 23:06:10.928676,2026-02-05 23:06:11.105897,0 days 00:00:00.177221,0.8461820290258797,0.34068765449884153,0.20235721425200104,5,5,361,0.3486731457802738,0.600241164751386,0.83095597367149,0.006368778530679058,COMPLETE
30,0.8519148936170213,2026-02-05 23:06:11.451183,2026-02-05 23:06:11.736652,0 days 00:00:00.285469,0.8920891271192,0.03568722574739708,0.13183785863530167,9,2,386,0.6041203688431375,0.8956021397250671,0.7039932384033858,0.01215562285709423,COMPLETE
31,0.8714893617021275,2026-02-05 23:06:12.150779,2026-02-05 23:06:12.378238,0 days 00:00:00.227459,0.8851828462178358,0.03600012958345877,0.1715457773328018,4,4,461,0.19683870778104973,0.9527102811372876,0.7590421182718685,0.01872340425531913,COMPLETE
32,0.8851063829787232,2026-02-05 23:06:12.763480,2026-02-05 23:06:12.997393,0 days 00:00:00.233913,0.9250506865162074,0.08511717345445052,0.2352243734742613,3,2,463,0.09956019228840143,0.9140678352520897,0.8031912272095859,0.012907022032428146,COMPLETE
33,0.8757446808510639,2026-02-05 23:06:13.404155,2026-02-05 23:06:13.619125,0 days 00:00:00.214970,0.9310304626723173,0.08698910059003843,0.23182480431090016,3,2,418,0.0731880913052998,0.779968789068533,0.8051094245734706,0.01813385170439362,COMPLETE
34,0.8800000000000001,2026-02-05 23:06:13.995289,2026-02-05 23:06:14.174654,0 days 00:00:00.179365,0.9324523330735505,0.14747162820154935,0.24279586332014197,3,2,415,0.1043519548045167,0.8192390806992287,0.8535339676305751,0.025160417870799114,COMPLETE
35,0.8689361702127659,2026-02-05 23:06:14.564102,2026-02-05 23:06:14.812090,0 days 00:00:00.247988,0.8417348793485387,0.14472347555396756,0.245715776192386,3,2,375,0.2557967009591052,0.8996618620563037,0.8649243849802012,0.013828150475976096,COMPLETE
36,0.7821276595744681,2026-02-05 23:06:15.179897,2026-02-05 23:06:15.383560,0 days 00:00:00.203663,0.7875360965156769,0.0891296793038929,0.07635478027128878,4,6,313,0.7272247213591989,0.8421744058300555,0.8495612700503733,0.01508088948652709,COMPLETE
37,0.8825531914893616,2026-02-05 23:06:15.746218,2026-02-05 23:06:15.968187,0 days 00:00:00.221969,0.9787817455506284,0.17176570308921812,0.29857909908335495,3,1,396,0.09979676515820657,0.927706013487821,0.8004370800604157,0.02024745064403457,COMPLETE
38,0.8204255319148936,2026-02-05 23:06:16.342386,2026-02-05 23:06:16.519832,0 days 00:00:00.177446,0.9870758040917007,0.22988448621757462,0.09708424438061387,4,1,282,0.08800286722260442,0.7095561192572215,0.7999993673278125,0.014838804914181014,COMPLETE
39,0.7446808510638296,2026-02-05 23:06:16.884231,2026-02-05 23:06:17.169111,0 days 00:00:00.284880,0.9747588797289961,0.17710413414692844,0.018934272417363063,5,1,387,0.0054927549294488814,0.8038316832389579,0.828193981452517,0.018450624160577696,COMPLETE
40,0.8306382978723403,2026-02-05 23:06:17.533542,2026-02-05 23:06:17.739080,0 days 00:00:00.205538,0.9199785036530566,0.18565524173225978,0.12439610650796189,3,2,410,0.13200055648398745,0.9063671359758887,0.9138937444953549,0.012737557061358117,COMPLETE
